sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HB2; lynch;agranadoster;2016-05-09 15:32;0;2;"About to watch Attorney General Loretta Lynch announce what the feds are going to do to NC because of HB2 #nced #ncga";;;#nced #ncga;"729755946235236352";https://twitter.com/agranadoster/status/729755946235236352
HB2; lynch;FOX46News;2016-05-09 15:32;2;0;"WATCH LIVE: AG Loretta Lynch to announce law enforcement action related to lawsuit over #HB2 . http:// bit.ly/24HwAKP";;;#HB2;"729755867873161217";https://twitter.com/FOX46News/status/729755867873161217
HB2; lynch;tunein;2016-05-09 15:30;0;2;"US Attorney General Loretta Lynch on #HB2 & North Carolina Gov. Pat McCrory's lawsuit: http:// ow.ly/uGc83003dLt pic.twitter.com/KGG52m6AJc";;;#HB2;"729755397377110017";https://twitter.com/tunein/status/729755397377110017
HB2; lynch;wcnc;2016-05-09 15:26;4;2;"LIVE in 5 minutes: Loretta Lynch responds to #HB2 suit. Watch it here: http:// on.wcnc.com/1q9DWUi #NCPol #NCGA #CLTNews";;;#HB2 #NCPol #NCGA #CLTNews;"729754346678784001";https://twitter.com/wcnc/status/729754346678784001
HB2; lynch;ABC11_WTVD;2016-05-09 15:25;3;2;"Watch Live: Attorney General Loretta Lynch holds news conference on North Carolina HB2 http:// abc11.com/23390/";;;;"729754229154451456";https://twitter.com/ABC11_WTVD/status/729754229154451456
HB2; lynch;ThirtyBirdy;2016-05-09 14:58;3;1;"Here's the live stream to US AG Loretta Lynch on #HB2 : https://www. justice.gov/live-stream";;;#HB2;"729747281658978308";https://twitter.com/ThirtyBirdy/status/729747281658978308
HB2; lynch;HomoPolitico;2016-05-09 14:43;2;0;"WATCH LIVE: Attorney General Loretta Lynch Announces Federal Action Against NC. #LGBT #HB2 https:// twitter.com/tlrd/status/72 9742175542464512 ";;;#LGBT #HB2;"729743620828495872";https://twitter.com/HomoPolitico/status/729743620828495872
HB2; lynch;johnrobinson;2016-05-09 14:37;1;1;"If you want to guess at AG Loretta Lynch 's thought process on NC's suit over HB2 & the civil rights act, consider: http://www. brainyquote.com/quotes/authors /l/loretta_lynch.html ";;;;"729742073448947712";https://twitter.com/johnrobinson/status/729742073448947712
HB2; lynch;ladycaucau;2016-05-09 14:09;1;1;"BOOM: Attorney General @LorettaLynch To Unveil Law Enforcement Action Against #NorthCarolina At 3:30PM http://www. joemygod.com/2016/05/09/boo m-loretta-lynch-north-carolina/ #HB2";;@LorettaLynch;#NorthCarolina #HB2;"729735177929261056";https://twitter.com/ladycaucau/status/729735177929261056
HB2; lynch;andreactually;2016-05-09 14:01;2;11;"Loretta Lynch be like.. #HB2 pic.twitter.com/znTccA7rDh";;;#HB2;"729732977383575552";https://twitter.com/andreactually/status/729732977383575552
