sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HB2; mccrory; doj;CoffyLady;2016-05-06 13:26;0;0;"Why does fed govt have legislation over bathrooms at all?! McCrory : DOJ Letter On HB2 Is 'Washington Overreach' http:// talkingpointsmemo.com/livewire/pat-m ccrory-responds-doj-hb2?AID=7236 ";;;;"728637180902432768";https://twitter.com/CoffyLady/status/728637180902432768
HB2; mccrory; doj;leghornusa;2016-05-06 11:58;0;0;"McCrory : DOJ Letter On HB2 Is 'Washington Overreach' @TPM http:// talkingpointsmemo.com/livewire/pat-m ccrory-responds-doj-hb2 So NOBAMA doesn't have problem, guy exposing to his kids?";;@TPM;;"728614960125911040";https://twitter.com/leghornusa/status/728614960125911040
HB2; mccrory; doj;Light_Yagami128;2016-05-06 11:54;0;1;"Pat McCrory is the equivalent of a school yard bully, the DOJ are just keeping him in check. #HB2 #RepealHB2 https:// twitter.com/ScottChafee/st atus/728610142586056704 ";;;#HB2 #RepealHB2;"728613815458344960";https://twitter.com/Light_Yagami128/status/728613815458344960
HB2; mccrory; doj;barryonash;2016-05-06 11:09;0;0;"McCrory HB2 response to DOJ on 5/9: 'Thank you for your letter. We're looking things over. All the best, will write again soon. Yours, Pat'";;;;"728602544684044288";https://twitter.com/barryonash/status/728602544684044288
HB2; mccrory; doj;aaronsarver;2016-05-06 10:29;1;0;"McCrory /Berger/Moore are continuing that strategy of whining about Obama/ DOJ /Courts without any recognition that #HB2 is a disaster.";;;#HB2;"728592563284762624";https://twitter.com/aaronsarver/status/728592563284762624
HB2; mccrory; doj;KarenDoe50;2016-05-06 09:05;0;0;"Washington always does: RT McCrory : DOJ Letter On HB2 Is 'Washington Overreach' @TPM http:// talkingpointsmemo.com/livewire/pat-m ccrory-responds-doj-hb2 ";;@TPM;;"728571503630024704";https://twitter.com/KarenDoe50/status/728571503630024704
HB2; mccrory; doj;elohimis1;2016-05-06 08:34;1;0;"McCrory : DOJ Letter On HB2 Is 'Washington Overreach' http:// talkingpointsmemo.com/livewire/pat-m ccrory-responds-doj-hb2 THIS IS DISGUSTING AND LUDICROUS!";;;;"728563527997218816";https://twitter.com/elohimis1/status/728563527997218816
HB2; mccrory; doj;JustinQberry;2016-05-06 05:57;5;4;"Now on CBS North Carolina News at 6 am: how Gov Pat McCrory is contradicting other Republicans over the DOJ 's Monday HB2 deadline. @WNCN";;@WNCN;;"728524106921091076";https://twitter.com/JustinQberry/status/728524106921091076
HB2; mccrory; doj;jjwright2223;2016-05-06 01:45;0;0;"McCrory : DOJ Letter On HB2 Is 'Washington Overreach' http:// talkingpointsmemo.com/livewire/pat-m ccrory-responds-doj-hb2 via @TPM I like this guy! Let's jus make it easier 4 predators";;@TPM;;"728460744874823681";https://twitter.com/jjwright2223/status/728460744874823681
HB2; mccrory; doj;WiselinePRT;2016-05-06 01:28;0;0;"#iNews9K BREAKING: NC Gov McCrory email to DOJ - "Which Monday?" #hb2 https:// twitter.com/KT_thomps/stat us/727962693123117057 ";;;#iNews9K #hb2;"728456492697821184";https://twitter.com/WiselinePRT/status/728456492697821184
HB2; mccrory; doj;leomvictory;2016-05-06 00:59;0;0;"McCrory : DOJ Letter On HB2 Is 'Washington Overreach' The Federal Government needs To Be Out Schools and Colleges. That not their function";;;;"728449205774123010";https://twitter.com/leomvictory/status/728449205774123010
HB2; mccrory; doj;celticcross811;2016-05-05 23:48;0;1;"McCrory : DOJ Letter On HB2 Is 'Washington Overreach' @TPM http:// talkingpointsmemo.com/livewire/pat-m ccrory-responds-doj-hb2 ";;@TPM;;"728431251162472450";https://twitter.com/celticcross811/status/728431251162472450
HB2; mccrory; doj;myrajean3;2016-05-05 21:41;0;0;"McCrory : DOJ Letter On HB2 Is 'Washington Overreach' @TPM http:// talkingpointsmemo.com/livewire/pat-m ccrory-responds-doj-hb2 liberal agenda to counter human decency: Say NO to it!";;@TPM;;"728399358358491137";https://twitter.com/myrajean3/status/728399358358491137
HB2; mccrory; doj;KaylaFOX46;2016-05-05 20:20;0;0;"Gov. McCrory 's office confirms they will have a response by Monday deadline to DOJ 's letter on HB2 @FOX46News";;@FOX46News;;"728378886728355840";https://twitter.com/KaylaFOX46/status/728378886728355840
HB2; mccrory; doj;HermanThomRDU;2016-05-05 20:00;1;0;"(Podcast) Newsworthy: Luke Walton Hillary/Trump Janet Jackson Pat McCrory DOJ NC #HB2 Jim Crow http://www. emcbth.com/blog/2016/05/0 5/Podcast-Newsworthy-Luke-Walton-HillaryTrump-Janet-Jackson-Pat-McCrory-DOJ-NC-HB2-Jim-Crow-.aspx #USA 2";;;#HB2 #USA;"728373807560298497";https://twitter.com/HermanThomRDU/status/728373807560298497
